,ADDR,bun,ji,region_cd,소방청 / 화재·구조·구급 통계시스템,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT
11,경기도 평택시 청북읍 후사리 265-35,265,35,4122025925,2020.0,3.0,0,3,8.0,4,4443558.376,경기도 평택시 청북읍 서해로 1570-1,폭우로 인한 법면 유실,14130879.31,567,POINT(14130879.314099999 4443558.3761),1
12,경상남도 창원시 의창구 동읍 용강리 산129-6,129,6,4812125021,2012.0,17.0,48200,0,9.0,0,4201113.976,,태풍 산바 영향에 따른 집중호우 등,14320226.95,166,POINT(14320226.952099999 4201113.9762000004),0
13,경상남도 창원시 의창구 동읍 용강리 산63-1,63,1,4812125021,2012.0,17.0,34400,0,9.0,0,4201411.284,,태풍 산바 영향에 따른 집중호우 등,14319133.74,152,POINT(14319133.7422 4201411.2841999996),0
14,경상남도 창원시 의창구 북면 무동리 산5,5,,4812131030,2012.0,17.0,57500,0,9.0,0,4207955.606,,태풍 산바 영향에 따른 집중호우 등,14314471.84,148,POINT(14314471.8432 4207955.6061000004),0
15,경상남도 함양군 백전면 백운리 102-1,102,1,4887039023,2020.0,9.0,0,0,8.0,0,4244385.324,,폭우로 인한 법면 유실,14208204.5,579,POINT(14208204.500700001 4244385.324),0
16,경상북도 상주시 함창읍 신흥리 490-2,490,2,4725025032,2015.0,7.0,0,0,12.0,2,4374947.1,,전신탑 붕괴로 인한 추락,14269055.65,438,POINT(14269055.652799999 4374947.0998999998),2
17,경상북도 영천시 망정동 232-1,232,1,4723010200,2015.0,10.0,0,1,1.0,0,4297446.908,,건물 철거 작업 중 내부벽체 무너짐,14354929.45,405,POINT(14354929.447799999 4297446.9075999996),1
18,경상북도 울진군 기성면 이평리 442-6,442,6,4793035027,2015.0,26.0,0,0,5.0,0,4410080.92,,주택 노후화로 인한 천장 붕괴,14402051.49,422,POINT(14402051.4901 4410080.9194999998),0
19,광주광역시 남구 서동 147-1,147,1,2915510300,2020.0,29.0,55000,0,7.0,0,4183753.863,광주광역시 남구 중앙로95번길 20,폭우로 인한 옹벽 붕괴,14127355.98,548,POINT(14127355.9789 4183753.8624999998),0
20,광주광역시 남구 행암동 520번지,520,,2915511000,2020.0,7.0,300000,0,8.0,0,4177719.351,광주광역시 남구 서문대로 402번길 50,집중호우로 인한 법면 유실,14124161.44,577,POINT(14124161.443399999 4177719.3511000001),0
21,부산광역시 동구 수정동 844-158,844,158,2617010200,2020.0,8.0,0,0,8.0,0,4181284.294,,폭우로 인한 건물 붕괴,14365062.5,578,POINT(14365062.4988 4181284.2944),0
22,부산광역시 동래구 명장동 600-19,600,19,2626010100,2015.0,18.0,0,0,9.0,0,4192082.607,,,14370817.27,436,POINT(14370817.271199999 4192082.6066000001),0
23,부산광역시 동래구 온천동 산160-4,160,4,2626010800,2015.0,,0,0,6.0,0,4192775.419,,,14366521.23,423,POINT(14366521.2294 4192775.4188000001),0
24,부산광역시 북구 화명동 산 204,204,,2632010200,2014.0,18.0,100000,0,8.0,0,4196775.231,,"석축 및 옹벽유실, 토사유실",14362988.62,296,POINT(14362988.616699999 4196775.2309999997),0
25,부산광역시 사상구 엄궁로 202,202,,2653000000,2019.0,11.0,0,0,3.0,0,4181657.92,부산시 사상구 엄궁동 35-1,해빙기 동결융해 과정 및 수목 뿌리 발육 등에 따른 수직ㆍ수평방향 분리 균열 발생 등,14357353.18,594,POINT(14357353.1788 4181657.9204000002),0
