Unnamed: 0,ADDR,bun,ji,region_cd,소방청 / 화재·구조·구급 통계시스템,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT,platPlc,strctCdNm,etcRoof,stcnsDay,grndFlrCnt,stcnsDay_final
246,충청북도 진천군 이월면 중산리 산10-1,0010,0001,4375035022,2006.0,15.0,0,1,8.0,1,4425387.391,충청북도 진천군 이월면 생거진천로 1770,공장내 도로 뒷길 붕괴,14187794.29,6,POINT(14187794.287900001 4425387.3908000002),0,,,,,,
247,충청북도 진천군 진천읍 벽암리 570-1,0570,0001,4375025026,2006.0,14.0,0,0,12.0,5,4419763.968,,콘크리트 타설 중 지지대 붕괴,14186499.93,7,POINT(14186499.93 4419763.9678999996),5,충청북도 진천군 진천읍 벽암리 570-1번지,철근콘크리트구조,스라브,20060104,4,20060104
248,부산광역시 영도구 남항동2가 16,0016,,2620000000,2007.0,1.0,0,1,2.0,1,4175878.259,,지상 4층 건물 철거 작업중 붕괴 압사,14364094.17,8,POINT(14364094.1653 4175878.2590000001),0,,,,,,
249,대구광역시 중구 종로1가 48,0048,,2711000000,2007.0,13.0,0,1,2.0,3,4282752.388,,건물 철거작업중 진동으로 목조 건물 붕괴,14314844.18,9,POINT(14314844.1753 4282752.3879000004),2,,,,,,
250,울산광역시 남구 여천동 190,0190,,3114010700,2007.0,28.0,0,0,3.0,1,4236340.034,,배관매설작업중 토사 붕괴,14400617.88,10,POINT(14400617.881999999 4236340.0335999997),1,울산광역시 남구 여천동 190번지,일반철골구조,스레트,199307  ,2,199307  
251,인천광역시 남동구 구월동 349-93,0349,0093,2820010100,2007.0,12.0,0,1,8.0,1,4502328.184,,교회 철탑 붕괴,14106621.87,11,POINT(14106621.8665 4502328.1835000003),0,,,,,,
252,서울특별시 영등포구 여의도동 23,0023,,1156011000,2007.0,19.0,0,0,9.0,0,4512536.978,,굴착공사 후 집중호우로 인한 지반 침하로 추정,14129259.5,12,POINT(14129259.495300001 4512536.9775),0,서울특별시 영등포구 여의도동 23번지,철근콘크리트구조,(철근)콘크리트,20061205,38,20061205
253,서울특별시 동대문구 제기동 979,0979,,1123010300,2008.0,3.0,0,1,6.0,1,4520392.437,,건물 내부수리중 안전조치 부적절,14141776.41,13,POINT(14141776.407299999 4520392.4370999997),0,서울특별시 동대문구 제기동 979번지,일반목구조,와즙, ,1,19760916
254,부산광역시 중구 보수동1가 32,0032,,2611000000,2008.0,29.0,0,1,7.0,1,4178575.654,,학교 공사중 옹벽 붕괴로 토사유출,14362962.89,14,POINT(14362962.8858 4178575.6540999999),0,,,,,,
255,서울특별시 강남구 논현동 119,0119,,1168010800,2008.0,31.0,0,1,10.0,2,4511480.717,,옛 나산백화점 철거공사중 구조물 붕괴,14142122.38,15,POINT(14142122.3771 4511480.7171999998),1,서울특별시 강남구 논현동 119번지,철골철근콘크리트구조,(철근)콘크리트,20090708,20,20090708
