OCRN_YR,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,ADDR,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT
2015,29,40000,0,04,부산광역시 서구 남부민동 636-2(동천주택 하부측 사면),0,4176249.398,부산광역시 서구 해돋이로 136,"동천주택밑 사면부 토사 유실(폭3m, 높이 5~6m)",14362667.13,416,POINT(14362667.126 4176249.3975),0
2015,30,0,0,04,서울특별시 송파구 잠실동 209-10,0,4510155.939,서울특별시 송파구 석촌호수로 98,불명,14147337.6,417,POINT(14147337.604800001 4510155.9390000002),0
2015,11,0,0,05,"울산광역시 울주군 두동면 구미리 산214-15, 299 일원",0,4253700.361,,폭우 인한 석축 붕괴,14383998.15,418,POINT(14383998.152100001 4253700.3613),0
2015,12,0,0,05,강원도 평창군 진부면 하진부리 336(진부체육공원 씨름장),0,4527518.515,,강풍으로 인한 체육공원씨름장 파손,14310764.08,419,POINT(14310764.079500001 4527518.5153999999),0
2015,12,0,0,05,강원도 평창군 진부면 하진부리 1289-46 (진부체육공원 씨름장),0,4527408.084,,강풍으로 인한 체육공원 돔구장(씨름장) 파손,14310809.3,420,POINT(14310809.299900001 4527408.0839999998),0
2015,22,20000,1,05,서울특별시 마포구 용강동 51-3,0,4514573.062,서울특별시 마포구 토정로 316,건축물 4층 철거작업 중 3층 바닥 붕괴,14131285,421,POINT(14131285.000299999 4514573.0620999997),1
2015,26,0,0,05,경상북도 울진군 기성면 이평리 442-6,0,4410080.92,,주택 노후화로 인한 천장 붕괴,14402051.49,422,POINT(14402051.4901 4410080.9194999998),0
2015,,0,0,06,부산광역시 동래구 온천동 산160-4,0,4192775.419,,,14366521.23,423,POINT(14366521.2294 4192775.4188000001),0
2015,25,1000,0,06,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,0,3926876.349,,호우시 낙석발생,14061143.25,424,POINT(14061143.2498 3926876.3491000002),0
2015,28,1000,0,06,제주특별자치도 서귀포시 안덕면 사계리 3693번지일원,0,3926876.349,,호우시 낙석발생,14061143.25,425,POINT(14061143.2498 3926876.3491000002),0
2015,30,26000,0,06,충청북도 진천군 광혜원면 구암리 188,0,4436890.255,충청북도 진천군 광혜원면 구암길 225,국지성 집중호우로 인한 제방 붕괴,14183868.25,426,POINT(14183868.247400001 4436890.2550999997),0
2015,,0,0,07,울산광역시 울주군 범서읍 중리 211,0,4249057.366,,폭우 인한 석축 붕괴,14385289.11,427,POINT(14385289.113299999 4249057.3661000002),0
2015,24,4907,0,07,강원도 영월군 영월읍 정양리 427-3 (황새여울),0,4460329.423,,집중호우로 인한 낙석 발생,14304480.84,428,POINT(14304480.841700001 4460329.4231000002),0
2015,25,60000,0,07,강원도 춘천시 서면 덕두원리 산 4-1,0,4561313.903,,집중호우로 인한 비탈면 붕괴,14212941.97,429,POINT(14212941.965600001 4561313.9031999996),0
2015,25,40000,0,07,강원도 춘천시 서면 덕두원리 산 29-3,0,4558907.534,,집중호우로 인한 비탈면 붕괴,14212544.11,430,POINT(14212544.1097 4558907.5335999997),0
2015,26,35000,0,07,강원도 평창군 방림면 방림리 산 483-1,0,4502113.334,,집중호우로 인한 비탈면 붕괴,14288259.4,431,POINT(14288259.3972 4502113.3335999995),0
2015,28,118000,0,07,경기도 의왕시 학의동 337-3(백운로),0,4492469.051,,집중호우로 인한 옹벽 붕괴,14137609.06,432,POINT(14137609.0606 4492469.0506999996),0
2015,31,0,12,07,대구광역시 동구 신천동 329-6 (동대구역 복합환승센터),0,4283836.583,,철골부재(5층) 브라켓 용접불량,14318906.22,433,POINT(14318906.2235 4283836.5829999996),12
2015,25,0,0,08,울산광역시 중구 서동 193,0,4242410.705,,태풍으로 인해 나무가 쓰러져 사당 담벼락 붕괴,14398629.8,434,POINT(14398629.7984 4242410.7046999997),0
2015,25,75000,0,08,강원도 양양군 서면 서림리 산 1-19,0,4574806.158,,집중호우로 인한 붕괴,14306516.68,435,POINT(14306516.6843 4574806.1580999997),0
2015,18,0,0,09,부산광역시 동래구 명장동 600-19,0,4192082.607,,,14370817.27,436,POINT(14370817.271199999 4192082.6066000001),0
2015,02      ,22000,0,12,강원도 홍천군 서면 모곡리 산 234-4,0,4533595.711,,이완 암 붕괴,14205507.05,437,POINT(14205507.0481 4533595.7114000004),0
2015,07      ,0,0,12,경상북도 상주시 함창읍 신흥리 490-2,2,4374947.1,,전신탑 붕괴로 인한 추락,14269055.65,438,POINT(14269055.652799999 4374947.0998999998),2
2016,20,877400,0,01,"제주특별자치도 서귀포시 안덕면 서광리 산24-6
(신화역사공원 A지구 숙박시설 신축공사)",8,3935431.961,,슬래브 콘크리트 타설 중 붕괴,14062015.22,439,POINT(14062015.2239 3935431.9613000001),8
2016,02      ,10000,0,02,강원도 영월군 주천면 판운리 1377-17,0,4479360.803,,해빙기 낙석,14284882.74,440,POINT(14284882.743100001 4479360.8031000001),0
2016,17,0,0,02,인천광역시 부평구 부평동 760-427,0,4510012.102,인천광역시 부평구 동수북로 76-2,공가 담장 붕괴사고발생,14106591.55,441,POINT(14106591.554199999 4510012.1014999999),0
2016,20,0,0,02,충청북도 영동군 상촌면 물한리 산 4-17,0,4313628.785,,자연붕괴,14235822.69,442,POINT(14235822.6851 4313628.7851999998),0
2016,22,4000,0,02,전라북도 남원시 주천면 호경리 산40번지 일원,0,4215900.748,,해빙기 낙석 발생,14190237.42,443,POINT(14190237.4224 4215900.7474999996),0
2016,20,0,1,03,충청북도 충주시 용탄동 364-4,0,4440723.662,충청북도 충주시 사래실길 58-23,공사중 담벼락 붕괴,14245184.32,444,POINT(14245184.3203 4440723.6616000002),1
2016,20,0,0,03,인천광역시 부평구 산곡동 87-876,0,4509718.258,인천광역시 부평구 원적로301번길 7,담장 노후로 인한 붕괴,14104164.34,445,POINT(14104164.3441 4509718.2582),0
2016,17,0,0,04,전라북도 익산시 웅포면 입점리 산 165-5,0,4306801.537,,낙석,14123281.62,446,POINT(14123281.6176 4306801.5368999997),0
2016,17,0,0,04,서울특별시 송파구 거여동 14,0,4508418.234,서울특별시 송파구 오금로53길 9,우천에 따른 우수,14153319.02,447,POINT(14153319.023700001 4508418.2337999996),0
2016,21,25000,0,04,강원도 춘천시 서면 덕두원리 산 4-1,0,4561313.903,,해빙기 낙석,14212941.97,448,POINT(14212941.965600001 4561313.9031999996),0
2016,03      ,5000,0,05,부산광역시 서구 서대신동3가 704-130,0,4179010.96,부산광역시 서구 시약로17번가길 10,주택 축대붕괴,14361150.62,449,POINT(14361150.6206 4179010.9594999999),0
2016,07      ,4000,0,05,전라북도 군산시 해망동 산 5-43,0,4298831.226,,비탈면 연약화에 의한 붕괴,14103675.43,450,POINT(14103675.4289 4298831.2262000004),0
2016,13,0,0,05,인천광역시 중구 도원동 71-65번지,0,4504505.566,,"(빈집)건물 노후화로 인한
 외벽 일부 붕괴",14097357.5,451,POINT(14097357.497300001 4504505.5657000002),0
2016,16,0,0,05,서울특별시 양천구 신월동 1063-3 소공원,0,4511507.918,,빗물침투로 인한 지반약화,14120687.39,452,POINT(14120687.3913 4511507.9183999998),0
2020,28,0,0,07,광주광역시 남구 진월동 13-4 제석로 사면,0,4179851.021,,폭우로 인한 법면 유실,14127144.14,547,POINT(14127144.1379 4179851.0211),0
2020,29,55000,0,07,광주광역시 남구 서동 147-1,0,4183753.863,광주광역시 남구 중앙로95번길 20,폭우로 인한 옹벽 붕괴,14127355.98,548,POINT(14127355.9789 4183753.8624999998),0
2020,30,0,0,07,전라남도 여수시 웅천동 541-1,0,4130288.945,,폭우로 인한 법면 유실,14213146.2,549,POINT(14213146.2041 4130288.9445000002),0
2020,30,0,0,07,전라남도 여수시 웅천동 산14-3,0,4130202.699,,폭우로 인한 법면 유실,14211922.85,550,POINT(14211922.845899999 4130202.6987999999),0
2020,30,0,0,07,충청북도 괴산군 청천면 금평리 116-5,0,4394511.811,충청북도 괴산군 청천면 금평로 61,호우로 인한 반파,14221630.49,551,POINT(14221630.4943 4394511.8104999997),0
2020,30,0,0,07,전라남도 여수시 소라면 죽림리 1096,0,4132684.644,,폭우로 인한 법면 유실,14208579.1,552,POINT(14208579.1011 4132684.6441000002),0
2020,30,0,0,07,전라남도 여수시 시전동 946-3,0,4129934.657,,폭우로 인한 법면 유실,14211471.18,553,POINT(14211471.180500001 4129934.6571999998),0
2020,30,0,0,07,전라남도 여수시 오림동 147-2,0,4131792.588,,폭우로 인한 법면 유실,14218058.71,554,POINT(14218058.7093 4131792.588),0
2020,30,0,0,07,전라남도 여수시 웅천동 1645,0,4130236.942,,폭우로 인한 법면 유실,14212618.6,555,POINT(14212618.602499999 4130236.9416999999),0
2020,01      ,14607,0,08,충청북도 진천군 이월면 노원리 748-1,0,4427834.134,,폭우로 인한 제방붕괴,14184697.09,556,POINT(14184697.093800001 4427834.1338),0
2020,01      ,3412,0,08,충청북도 진천군 이월면 사곡리 1267,0,4422997.513,,폭우로 인한 제방붕괴,14184164.76,557,POINT(14184164.764 4422997.5131999999),0
2020,01      ,19930,0,08,충청북도 진천군 이월면 신월리 997-2,0,4426936.08,,폭우로 인한 제방붕괴,14190533.69,558,POINT(14190533.686100001 4426936.0798000004),0
2020,01      ,7778,0,08,충청북도 진천군 이월면 중산리 1384,0,4425347.615,,폭우로 인한 제방붕괴,14187064.53,559,POINT(14187064.5254 4425347.6151999999),0
2020,01      ,22960,0,08,충청북도 진천군 이월면 노원리 573-3,0,4426865.77,,폭우로 인한 제방붕괴,14184547.93,560,POINT(14184547.9257 4426865.7702000001),0
2020,01      ,22169,0,08,충청북도 진천군 이월면 사곡리 1361,0,4423123.19,,폭우로 인한 제방붕괴,14185192.8,561,POINT(14185192.7995 4423123.1896000002),0
2020,03      ,104768,0,08,충청북도 진천군 이월면 송림리 산29-1,0,4430983.632,,폭우로 인한 법면붕괴,14184529.89,562,POINT(14184529.892000001 4430983.6316),0
2020,03      ,2742,0,08,충청북도 진천군 이월면 삼용리 1276,0,4426087.973,,폭우로 인한 법면붕괴,14191293.21,563,POINT(14191293.214 4426087.9727999996),0
2020,03      ,7170,0,08,충청북도 진천군 이월면 사당리 292-17,0,4429914.012,,폭우로 인한 제방붕괴,14188560.77,564,POINT(14188560.7707 4429914.0120999999),0
2020,03      ,19221,0,08,충청북도 진천군 이월면 신월리 317-23,0,4428434.132,,폭우로 인한 도로붕괴,14189595.6,565,POINT(14189595.5967 4428434.1317999996),0
2020,03      ,3303,0,08,충청북도 진천군 이월면 사곡리 763-0,0,4424588.689,,폭우로 인한 도로붕괴,14184915.61,566,POINT(14184915.614 4424588.6886999998),0
2020,03      ,0,3,08,경기도 평택시 청북읍 후사리 265-35,4,4443558.376,경기도 평택시 청북읍 서해로 1570-1,폭우로 인한 법면 유실,14130879.31,567,POINT(14130879.314099999 4443558.3761),1
2020,03      ,17942,0,08,충청북도 진천군 이월면 사곡리 480,0,4423483.526,,폭우로 인한 제방붕괴,14186318.35,568,POINT(14186318.3509 4423483.5257999999),0
2020,04      ,6093,0,08,충청북도 진천군 이월면 사곡리 산98-55,0,4422641.09,,폭우로 인한 제방붕괴,14186025.47,569,POINT(14186025.4693 4422641.0902000004),0
2020,04      ,6600,0,08,충청북도 진천군 이월면 노원리 1131,0,4425729.605,,폭우로 인한 제방붕괴,14185044.41,570,POINT(14185044.410599999 4425729.6046000002),0
2020,04      ,0,0,08,강원도 양구군 남면 웅진리 산107-2 (군도10호선),0,4587071.15,,"호우로인한 토사유실 및
도로토사유입",14242716.59,571,POINT(14242716.5898 4587071.1498999996),0
2020,04      ,0,0,08,강원도 양구군 양구읍 수인리 산72-11번지 (군도 1호),0,4582195.006,,"호우로 인한 토사유실 및
도로토사유입",14240946.61,572,POINT(14240946.6099 4582195.0055999998),0
2020,04      ,0,0,08,강원도 양구군 방산면 금악리 산145-11번지 (군도6호선),0,4605352.415,,일부구간 낙석발생,14240824.16,573,POINT(14240824.158500001 4605352.4145),0
2020,06      ,4671,0,08,충청북도 진천군 이월면 사곡리 산55-55 (1105번지선),0,4423093.267,,폭우로 인한 농로붕괴,14183490.5,574,POINT(14183490.5019 4423093.2664999999),0
2020,07      ,0,0,08,울산광역시 동구 방어동 1328,0,4232884.075,울산광역시 동구 방어진순환도로 100,폭우로 인한 법면 유실,14404927.23,575,POINT(14404927.232999999 4232884.0749000004),0
2020,07      ,8616,0,08,"충청북도 진천군 이월면 사곡리 1293 (1083,1121선)",0,4422793.205,,폭우로 인한 농로붕괴,14183643.45,576,POINT(14183643.4549 4422793.2051999997),0
2020,07      ,300000,0,08,광주광역시 남구 행암동 520번지,0,4177719.351,광주광역시 남구 서문대로 402번길 50,집중호우로 인한 법면 유실,14124161.44,577,POINT(14124161.443399999 4177719.3511000001),0
2020,08      ,0,0,08,부산광역시 동구 수정동 844-158,0,4181284.294,,폭우로 인한 건물 붕괴,14365062.5,578,POINT(14365062.4988 4181284.2944),0
2020,09      ,0,0,08,경상남도 함양군 백전면 백운리 102-1,0,4244385.324,,폭우로 인한 법면 유실,14208204.5,579,POINT(14208204.500700001 4244385.324),0
2020,10,7616,0,08,전라남도 장흥군 안양면 비동리 81-3,0,4120248.925,전라남도 장흥군 안양면 로하스로 157,폭우로 인한 법면 유실,14133233.44,580,POINT(14133233.437899999 4120248.9249),0
